fleet,idx0_noGo,idx1_closeHauled,idx2_beam,idx3_broad,idx4_run,tacksPerBoat,finisherRate
naive,0.1272,0.2472,0.2492,0.2532,0.1232,14.233,0.0000
evolved,0.5162,0.4606,0.0167,0.0047,0.0018,7.287,0.0933
